date,uptake,period
19/02/20,3,0
20/02/20,4,1
21/02/20,21,2
22/02/20,79,3
23/02/20,157,4
24/02/20,229,5
25/02/20,323,6
26/02/20,470,7
27/02/20,655,8
28/02/20,889,9
29/02/20,1128,10
01/03/20,1701,11
02/03/20,2036,12
03/03/20,2501,13
04/03/20,3089,14
05/03/20,3858,15
06/03/20,4636,16
07/03/20,5883,17
08/03/20,7375,18
09/03/20,9172,19
10/03/20,10149,20
11/03/20,12462,21
12/03/20,15113,22
13/03/20,17660,23
14/03/20,21157,24
15/03/20,24747,25
16/03/20,27980,26
17/03/20,31506,27
18/03/20,35713,28
19/03/20,41035,29
20/03/20,47021,30
21/03/20,53578,31
22/03/20,59138,32
23/03/20,63927,33
24/03/20,69176,34
25/03/20,74386,35
26/03/20,80589,36
27/03/20,86498,37
28/03/20,92472,38
29/03/20,97689,39
30/03/20,101739,40
31/03/20,105792,41
01/04/20,110574,42
02/04/20,115242,43
03/04/20,119827,44
04/04/20,124632,45
05/04/20,128948,46
06/04/20,132547,47
07/04/20,135586,48
08/04/20,139422,49
